Name;Vorname;Geschlecht;Geburtsdatum;Übung;Kategorie;Datum;Ergebnis;Punkte
Schäfer;Luis;m;01.01.2009;Werfen, 10-11;Kraft;20.05.2025;Bronze;22.47
Schäfer;Luis;m;01.01.2009;Radfahren, 10-11;Ausdauer;16.03.2025;Bronze;42.38
Zimmermann;Leon;m;01.01.2010;Weitsprung, 10-11;Koordination;22.05.2025;Bronze;2.99
Schulz;Marie;f;01.01.2012;Schwimmen, 10-11;Ausdauer;12.04.2025;Bronze;6.63
Becker;Lukas;m;01.01.2011;Werfen, 10-11;Kraft;26.09.2025;Bronze;24.9
Bauer;Sophie;f;01.01.2008;Schwimmen, 10-11;Ausdauer;09.09.2025;Bronze;7.4
Schneider;Lilly;f;01.01.2012;Schleuderball, 12-13;Koordination;28.10.2025;Bronze;24.7
Klein;Noah;m;01.01.2008;Laufen, 10-11;Schnelligkeit;08.03.2025;Bronze;0.12
Becker;Lukas;m;01.01.2011;Laufen, 10-11;Schnelligkeit;17.09.2025;Bronze;0.09
Schneider;Lilly;f;01.01.2012;Hochsprung, 10-11;Koordination;01.05.2025;Bronze;1.07
Werner;Clara;f;01.01.2011;Schleuderball, 12-13;Koordination;29.05.2025;Bronze;15.29
Werner;Clara;f;01.01.2011;Radfahren, 10-11;Ausdauer;23.04.2025;Bronze;72.14
Hoffmann;Paul;m;01.01.2008;Laufen, 10-11;Schnelligkeit;28.08.2025;Bronze;0.12
Koch;Emma;f;01.01.2010;Radfahren, 10-11;Schnelligkeit;03.01.2025;Bronze;0.32
Koch;Emma;f;01.01.2010;Drehwurf, 10-11;Koordination;03.10.2025;Bronze;40.09
Schäfer;Luis;m;01.01.2009;Radfahren, 10-11;Schnelligkeit;05.07.2025;Bronze;0.3
Becker;Lukas;m;01.01.2011;Schwimmen, 10-11;Schnelligkeit;05.04.2025;Bronze;0.36
Fischer;Emily;f;01.01.2010;Radfahren, 10-11;Ausdauer;14.06.2025;Bronze;70.27
Klein;Alex;m;01.01.2011;Standweitsprung, 10-11;Kraft;04.05.2025;Bronze;1.53
Müller;Lena;f;01.01.2010;Drehwurf, 10-11;Koordination;23.03.2025;Bronze;33.51
Krüger;Nina;f;01.01.2011;Werfen, 10-11;Kraft;28.08.2025;Bronze;15.63
Hartmann;Anna;f;01.01.2009;Drehwurf, 10-11;Koordination;17.08.2025;Bronze;27.1
Klein;Noah;m;01.01.2008;Laufen, 10-11;Ausdauer;21.06.2025;Bronze;6.13
Hartmann;Anna;f;01.01.2009;Standweitsprung, 10-11;Kraft;16.01.2025;Bronze;1.17
Wagner;Lara;f;01.01.2011;Standweitsprung, 10-11;Kraft;01.02.2025;Bronze;1.55
Neumann;Tim;m;01.01.2008;Schwimmen, 10-11;Schnelligkeit;03.09.2025;Bronze;0.33
Krüger;Nina;f;01.01.2011;Weitsprung, 10-11;Koordination;12.06.2025;Bronze;3.21
Becker;Lukas;m;01.01.2011;Standweitsprung, 10-11;Kraft;21.02.2025;Bronze;1.36
Bauer;Sophie;f;01.01.2008;Schleuderball, 12-13;Koordination;14.04.2025;Bronze;24.13
Becker;Lukas;m;01.01.2011;Schwimmen, 10-11;Ausdauer;15.10.2025;Bronze;7.28
Krüger;Nina;f;01.01.2011;Laufen, 10-11;Schnelligkeit;26.06.2025;Bronze;0.14
Schäfer;Luis;m;01.01.2009;Standweitsprung, 10-11;Kraft;14.01.2025;Bronze;2.04
Schulz;Marie;f;01.01.2012;Schleuderball, 12-13;Koordination;11.05.2025;Bronze;23.44
Koch;Emma;f;01.01.2010;Radfahren, 10-11;Ausdauer;28.05.2025;Bronze;72.02
Koch;Emma;f;01.01.2010;Laufen, 10-11;Ausdauer;20.06.2025;Bronze;7.31
Zimmermann;Leon;m;01.01.2010;Radfahren, 10-11;Schnelligkeit;21.02.2025;Bronze;0.48
Hoffmann;Paul;m;01.01.2008;Werfen, 10-11;Kraft;23.05.2025;Bronze;32.13
Werner;Clara;f;01.01.2011;Radfahren, 10-11;Schnelligkeit;22.06.2025;Bronze;0.36
Hoffmann;Paul;m;01.01.2008;Hochsprung, 10-11;Koordination;21.06.2025;Bronze;0.78
Koch;Emma;f;01.01.2010;Drehwurf, 10-11;Koordination;19.06.2025;Bronze;34.39
Hoffmann;Paul;m;01.01.2008;Schwimmen, 10-11;Schnelligkeit;07.09.2025;Bronze;0.42
Müller;Lena;f;01.01.2010;Radfahren, 10-11;Schnelligkeit;07.03.2025;Bronze;0.44
Schäfer;Luis;m;01.01.2009;Standweitsprung, 10-11;Kraft;21.02.2025;Bronze;1.57
Wagner;Lara;f;01.01.2011;Laufen, 10-11;Ausdauer;26.09.2025;Bronze;4.99
Schulz;Marie;f;01.01.2012;Radfahren, 10-11;Schnelligkeit;26.02.2025;Bronze;0.38
Klein;Alex;m;01.01.2011;Radfahren, 10-11;Ausdauer;24.05.2025;Bronze;72.02
Wagner;Lara;f;01.01.2011;Schleuderball, 12-13;Koordination;03.10.2025;Bronze;15.25
Klein;Noah;m;01.01.2008;Laufen, 10-11;Ausdauer;21.06.2025;Bronze;6.89
Schmidt;Tom;m;01.01.2009;Radfahren, 10-11;Schnelligkeit;17.09.2025;Bronze;0.47
Schulz;Marie;f;01.01.2012;Laufen, 10-11;Schnelligkeit;20.09.2025;Bronze;0.14
Meier;Jonas;m;01.01.2010;Weitsprung, 10-11;Koordination;26.07.2025;Bronze;2.54
Koch;Emma;f;01.01.2010;Laufen, 10-11;Ausdauer;06.10.2025;Bronze;4.46
Neumann;Tim;m;01.01.2008;Standweitsprung, 10-11;Kraft;09.06.2025;Bronze;1.3
Klein;Alex;m;01.01.2011;Schleuderball, 12-13;Koordination;24.08.2025;Bronze;20.54
Koch;Emma;f;01.01.2010;Laufen, 10-11;Schnelligkeit;01.02.2025;Bronze;0.14
Bauer;Sophie;f;01.01.2008;Schwimmen, 10-11;Ausdauer;10.08.2025;Bronze;8.91
Fischer;Emily;f;01.01.2010;Schleuderball, 12-13;Koordination;26.07.2025;Bronze;16.06
Schäfer;Luis;m;01.01.2009;Radfahren, 10-11;Schnelligkeit;12.10.2025;Bronze;0.45
Hoffmann;Paul;m;01.01.2008;Laufen, 10-11;Schnelligkeit;05.06.2025;Bronze;0.12
Klein;Noah;m;01.01.2008;Drehwurf, 10-11;Koordination;24.06.2025;Bronze;36.47
Schmidt;Tom;m;01.01.2009;Hochsprung, 10-11;Koordination;20.08.2025;Bronze;0.88
Klein;Alex;m;01.01.2011;Weitsprung, 10-11;Koordination;11.01.2025;Bronze;2.51
Schulz;Marie;f;01.01.2012;Laufen, 10-11;Schnelligkeit;28.08.2025;Bronze;0.14
Koch;Emma;f;01.01.2010;Standweitsprung, 10-11;Kraft;06.03.2025;Bronze;1.62
Hartmann;Anna;f;01.01.2009;Schwimmen, 10-11;Schnelligkeit;16.02.2025;Bronze;0.47
Meier;Jonas;m;01.01.2010;Radfahren, 10-11;Schnelligkeit;10.10.2025;Bronze;0.34
Klein;Noah;m;01.01.2008;Schleuderball, 12-13;Koordination;15.01.2025;Bronze;18.14
Zimmermann;Leon;m;01.01.2010;Radfahren, 10-11;Ausdauer;15.08.2025;Bronze;51.25
Schmidt;Tom;m;01.01.2009;Drehwurf, 10-11;Koordination;09.10.2025;Bronze;49.64
Zimmermann;Leon;m;01.01.2010;Laufen, 10-11;Schnelligkeit;29.09.2025;Bronze;0.1
Klein;Noah;m;01.01.2008;Laufen, 10-11;Schnelligkeit;18.01.2025;Bronze;0.09
Schulz;Marie;f;01.01.2012;Laufen, 10-11;Schnelligkeit;16.01.2025;Bronze;0.13
Schneider;Lilly;f;01.01.2012;Radfahren, 10-11;Schnelligkeit;28.06.2025;Bronze;0.48
Neumann;Tim;m;01.01.2008;Laufen, 10-11;Ausdauer;24.10.2025;Bronze;5.2
Schulz;Marie;f;01.01.2012;Weitsprung, 10-11;Koordination;02.08.2025;Bronze;2.04
Richter;Ben;m;01.01.2008;Radfahren, 10-11;Schnelligkeit;24.07.2025;Bronze;0.32
Hoffmann;Paul;m;01.01.2008;Radfahren, 10-11;Ausdauer;12.02.2025;Bronze;69.76
Hartmann;Anna;f;01.01.2009;Radfahren, 10-11;Schnelligkeit;25.08.2025;Bronze;0.49
Schäfer;Luis;m;01.01.2009;Radfahren, 10-11;Schnelligkeit;12.08.2025;Bronze;0.45
Klein;Alex;m;01.01.2011;Standweitsprung, 10-11;Kraft;08.08.2025;Bronze;1.38
Klein;Noah;m;01.01.2008;Laufen, 10-11;Ausdauer;21.08.2025;Bronze;6.87
Schmidt;Tom;m;01.01.2009;Drehwurf, 10-11;Koordination;05.07.2025;Bronze;35.7
Becker;Lukas;m;01.01.2011;Laufen, 10-11;Schnelligkeit;26.02.2025;Bronze;0.13
Wolf;Max;m;01.01.2009;Radfahren, 10-11;Schnelligkeit;29.10.2025;Bronze;0.33
Hoffmann;Paul;m;01.01.2008;Standweitsprung, 10-11;Kraft;26.10.2025;Bronze;1.4
Wagner;Lara;f;01.01.2011;Laufen, 10-11;Schnelligkeit;15.03.2025;Bronze;0.1
Richter;Ben;m;01.01.2008;Werfen, 10-11;Kraft;04.10.2025;Bronze;24.97
Bauer;Sophie;f;01.01.2008;Werfen, 10-11;Kraft;23.05.2025;Bronze;15.28
Meier;Jonas;m;01.01.2010;Laufen, 10-11;Schnelligkeit;09.07.2025;Bronze;0.13
Bauer;Sophie;f;01.01.2008;Laufen, 10-11;Schnelligkeit;08.01.2025;Bronze;0.11
Hoffmann;Paul;m;01.01.2008;Laufen, 10-11;Schnelligkeit;15.04.2025;Bronze;0.1
Schulz;Marie;f;01.01.2012;Schwimmen, 10-11;Schnelligkeit;21.09.2025;Bronze;0.59
Neumann;Tim;m;01.01.2008;Schwimmen, 10-11;Ausdauer;05.03.2025;Bronze;6.92
Becker;Lukas;m;01.01.2011;Schleuderball, 12-13;Koordination;18.03.2025;Bronze;22.64
Zimmermann;Leon;m;01.01.2010;Laufen, 10-11;Schnelligkeit;05.03.2025;Bronze;0.13
Fischer;Emily;f;01.01.2010;Laufen, 10-11;Ausdauer;18.04.2025;Bronze;7.12
Koch;Emma;f;01.01.2010;Laufen, 10-11;Schnelligkeit;21.08.2025;Bronze;0.1
Meier;Jonas;m;01.01.2010;Weitsprung, 10-11;Koordination;03.01.2025;Bronze;2.38
Schmidt;Tom;m;01.01.2009;Standweitsprung, 10-11;Kraft;19.09.2025;Bronze;1.57
Werner;Clara;f;01.01.2011;Standweitsprung, 10-11;Kraft;20.06.2025;Bronze;1.17
Krüger;Nina;f;01.01.2011;Drehwurf, 10-11;Koordination;23.10.2025;Bronze;36.16
Meier;Jonas;m;01.01.2010;Werfen, 10-11;Kraft;01.09.2025;Bronze;23.59
Zimmermann;Leon;m;01.01.2010;Standweitsprung, 10-11;Kraft;24.10.2025;Bronze;2.06
Schäfer;Luis;m;01.01.2009;Werfen, 10-11;Kraft;09.09.2025;Bronze;20.21
Bauer;Sophie;f;01.01.2008;Hochsprung, 10-11;Koordination;12.09.2025;Bronze;1.04
Klein;Noah;m;01.01.2008;Schwimmen, 10-11;Schnelligkeit;01.08.2025;Bronze;0.34
Meier;Jonas;m;01.01.2010;Radfahren, 10-11;Schnelligkeit;27.04.2025;Bronze;0.36
Becker;Lukas;m;01.01.2011;Laufen, 10-11;Ausdauer;20.05.2025;Bronze;6.75
Klein;Noah;m;01.01.2008;Drehwurf, 10-11;Koordination;04.02.2025;Bronze;47.88
Wolf;Max;m;01.01.2009;Schwimmen, 10-11;Schnelligkeit;23.08.2025;Bronze;0.39
Werner;Clara;f;01.01.2011;Weitsprung, 10-11;Koordination;29.07.2025;Bronze;2.32
Fischer;Emily;f;01.01.2010;Werfen, 10-11;Kraft;03.02.2025;Bronze;12.15
Wagner;Lara;f;01.01.2011;Schwimmen, 10-11;Ausdauer;28.06.2025;Bronze;8.28
Müller;Lena;f;01.01.2010;Standweitsprung, 10-11;Kraft;22.07.2025;Bronze;1.3
Bauer;Sophie;f;01.01.2008;Radfahren, 10-11;Schnelligkeit;22.04.2025;Bronze;0.4
Müller;Lena;f;01.01.2010;Drehwurf, 10-11;Koordination;02.08.2025;Bronze;31.94
Fischer;Emily;f;01.01.2010;Laufen, 10-11;Schnelligkeit;13.06.2025;Bronze;0.11
Krüger;Nina;f;01.01.2011;Werfen, 10-11;Kraft;26.06.2025;Bronze;10.76
Schmidt;Tom;m;01.01.2009;Weitsprung, 10-11;Koordination;17.10.2025;Bronze;3.45
Wolf;Max;m;01.01.2009;Schwimmen, 10-11;Schnelligkeit;10.02.2025;Bronze;0.44
Schmidt;Tom;m;01.01.2009;Laufen, 10-11;Ausdauer;03.05.2025;Bronze;6.56
Bauer;Sophie;f;01.01.2008;Radfahren, 10-11;Schnelligkeit;03.08.2025;Bronze;0.38
Werner;Clara;f;01.01.2011;Schwimmen, 10-11;Schnelligkeit;18.05.2025;Bronze;0.4
Richter;Ben;m;01.01.2008;Laufen, 10-11;Ausdauer;28.01.2025;Bronze;4.42
Müller;Lena;f;01.01.2010;Radfahren, 10-11;Schnelligkeit;24.01.2025;Bronze;0.37
Schneider;Lilly;f;01.01.2012;Schwimmen, 10-11;Ausdauer;12.03.2025;Bronze;7.61
Werner;Clara;f;01.01.2011;Radfahren, 10-11;Schnelligkeit;29.07.2025;Bronze;0.33
Hartmann;Anna;f;01.01.2009;Radfahren, 10-11;Ausdauer;05.01.2025;Bronze;44.45
Schäfer;Luis;m;01.01.2009;Laufen, 10-11;Schnelligkeit;14.06.2025;Bronze;0.1
Richter;Ben;m;01.01.2008;Schwimmen, 10-11;Ausdauer;20.03.2025;Bronze;9.66
Richter;Ben;m;01.01.2008;Laufen, 10-11;Ausdauer;28.09.2025;Bronze;6.31
Wolf;Max;m;01.01.2009;Radfahren, 10-11;Schnelligkeit;28.07.2025;Bronze;0.41
Zimmermann;Leon;m;01.01.2010;Werfen, 10-11;Kraft;01.10.2025;Bronze;26.56
Bauer;Sophie;f;01.01.2008;Radfahren, 10-11;Ausdauer;02.07.2025;Bronze;47.48
Zimmermann;Leon;m;01.01.2010;Radfahren, 10-11;Schnelligkeit;28.02.2025;Bronze;0.46
Klein;Noah;m;01.01.2008;Weitsprung, 10-11;Koordination;05.03.2025;Bronze;2.37
Fischer;Emily;f;01.01.2010;Laufen, 10-11;Ausdauer;23.08.2025;Bronze;6.7
Hoffmann;Paul;m;01.01.2008;Schleuderball, 12-13;Koordination;25.07.2025;Bronze;31.33
Becker;Lukas;m;01.01.2011;Schwimmen, 10-11;Schnelligkeit;08.09.2025;Bronze;0.37
Klein;Alex;m;01.01.2011;Standweitsprung, 10-11;Kraft;07.10.2025;Bronze;1.33
Schneider;Lilly;f;01.01.2012;Radfahren, 10-11;Ausdauer;26.01.2025;Bronze;65.27
Schmidt;Tom;m;01.01.2009;Radfahren, 10-11;Schnelligkeit;14.04.2025;Bronze;0.31
Klein;Noah;m;01.01.2008;Laufen, 10-11;Ausdauer;12.09.2025;Bronze;7.04
Klein;Alex;m;01.01.2011;Werfen, 10-11;Kraft;24.04.2025;Bronze;20.03
Schulz;Marie;f;01.01.2012;Schwimmen, 10-11;Ausdauer;08.03.2025;Bronze;10.2
Krüger;Nina;f;01.01.2011;Laufen, 10-11;Ausdauer;06.09.2025;Bronze;5.27
Bauer;Sophie;f;01.01.2008;Schwimmen, 10-11;Schnelligkeit;03.02.2025;Bronze;0.43
Becker;Lukas;m;01.01.2011;Laufen, 10-11;Ausdauer;07.10.2025;Bronze;7.49
Fischer;Emily;f;01.01.2010;Laufen, 10-11;Schnelligkeit;28.01.2025;Bronze;0.14
Klein;Noah;m;01.01.2008;Radfahren, 10-11;Schnelligkeit;24.08.2025;Bronze;0.37
Hoffmann;Paul;m;01.01.2008;Weitsprung, 10-11;Koordination;06.07.2025;Bronze;3.46
Meier;Jonas;m;01.01.2010;Hochsprung, 10-11;Koordination;14.09.2025;Bronze;1.14
Schulz;Marie;f;01.01.2012;Laufen, 10-11;Schnelligkeit;21.04.2025;Bronze;0.15
Wolf;Max;m;01.01.2009;Standweitsprung, 10-11;Kraft;15.03.2025;Bronze;1.32
Wagner;Lara;f;01.01.2011;Schleuderball, 12-13;Koordination;27.05.2025;Bronze;23.74
Becker;Lukas;m;01.01.2011;Drehwurf, 10-11;Koordination;22.01.2025;Bronze;37.38
Wolf;Max;m;01.01.2009;Schwimmen, 10-11;Ausdauer;05.09.2025;Bronze;6.53
Bauer;Sophie;f;01.01.2008;Standweitsprung, 10-11;Kraft;26.05.2025;Bronze;1.24
Werner;Clara;f;01.01.2011;Standweitsprung, 10-11;Kraft;22.10.2025;Bronze;1.76
Hartmann;Anna;f;01.01.2009;Radfahren, 10-11;Ausdauer;03.07.2025;Bronze;61.99
Schneider;Lilly;f;01.01.2012;Radfahren, 10-11;Schnelligkeit;26.06.2025;Bronze;0.52
Wolf;Max;m;01.01.2009;Laufen, 10-11;Schnelligkeit;28.05.2025;Bronze;0.1
Werner;Clara;f;01.01.2011;Radfahren, 10-11;Ausdauer;13.06.2025;Bronze;47.47
Hartmann;Anna;f;01.01.2009;Schleuderball, 12-13;Koordination;19.01.2025;Bronze;15.3
Hartmann;Anna;f;01.01.2009;Laufen, 10-11;Schnelligkeit;25.05.2025;Bronze;0.1
Hoffmann;Paul;m;01.01.2008;Werfen, 10-11;Kraft;25.09.2025;Bronze;29.33
Schäfer;Luis;m;01.01.2009;Werfen, 10-11;Kraft;28.04.2025;Bronze;31.12
Schulz;Marie;f;01.01.2012;Hochsprung, 10-11;Koordination;23.04.2025;Bronze;0.99
Schmidt;Tom;m;01.01.2009;Werfen, 10-11;Kraft;11.07.2025;Bronze;18.22
Becker;Lukas;m;01.01.2011;Werfen, 10-11;Kraft;06.04.2025;Bronze;27.6
Zimmermann;Leon;m;01.01.2010;Radfahren, 10-11;Ausdauer;13.07.2025;Bronze;45.7
Wolf;Max;m;01.01.2009;Werfen, 10-11;Kraft;05.06.2025;Bronze;18.3
Hoffmann;Paul;m;01.01.2008;Radfahren, 10-11;Ausdauer;11.10.2025;Bronze;51.4
Fischer;Emily;f;01.01.2010;Schleuderball, 12-13;Koordination;21.02.2025;Bronze;24.22
Fischer;Emily;f;01.01.2010;Schleuderball, 12-13;Koordination;08.07.2025;Bronze;16.03
Werner;Clara;f;01.01.2011;Radfahren, 10-11;Schnelligkeit;01.01.2025;Bronze;0.5
Klein;Noah;m;01.01.2008;Radfahren, 10-11;Ausdauer;16.03.2025;Bronze;46.07
Meier;Jonas;m;01.01.2010;Schwimmen, 10-11;Schnelligkeit;14.08.2025;Bronze;0.45
Schulz;Marie;f;01.01.2012;Standweitsprung, 10-11;Kraft;24.02.2025;Bronze;1.23
Fischer;Emily;f;01.01.2010;Schwimmen, 10-11;Ausdauer;18.02.2025;Bronze;9.84
Meier;Jonas;m;01.01.2010;Schwimmen, 10-11;Ausdauer;18.05.2025;Bronze;7.28
Koch;Emma;f;01.01.2010;Werfen, 10-11;Kraft;28.08.2025;Bronze;12.76
Zimmermann;Leon;m;01.01.2010;Radfahren, 10-11;Schnelligkeit;02.06.2025;Bronze;0.33
Schulz;Marie;f;01.01.2012;Laufen, 10-11;Ausdauer;14.10.2025;Bronze;6.94
Werner;Clara;f;01.01.2011;Laufen, 10-11;Ausdauer;26.04.2025;Bronze;4.5
Bauer;Sophie;f;01.01.2008;Werfen, 10-11;Kraft;06.07.2025;Bronze;17.69
Schulz;Marie;f;01.01.2012;Schwimmen, 10-11;Schnelligkeit;04.08.2025;Bronze;0.52
Hartmann;Anna;f;01.01.2009;Laufen, 10-11;Schnelligkeit;09.02.2025;Bronze;0.1
Schmidt;Tom;m;01.01.2009;Schwimmen, 10-11;Ausdauer;09.03.2025;Bronze;7.41
Zimmermann;Leon;m;01.01.2010;Werfen, 10-11;Kraft;18.08.2025;Bronze;28.34
Schmidt;Tom;m;01.01.2009;Hochsprung, 10-11;Koordination;23.10.2025;Bronze;0.82
Fischer;Emily;f;01.01.2010;Radfahren, 10-11;Ausdauer;26.08.2025;Bronze;47.83
Schmidt;Tom;m;01.01.2009;Standweitsprung, 10-11;Kraft;09.08.2025;Bronze;1.33
Wagner;Lara;f;01.01.2011;Schwimmen, 10-11;Ausdauer;18.06.2025;Bronze;6.26
Hartmann;Anna;f;01.01.2009;Weitsprung, 10-11;Koordination;01.05.2025;Bronze;2.05
Zimmermann;Leon;m;01.01.2010;Laufen, 10-11;Ausdauer;04.02.2025;Bronze;6.14
Hoffmann;Paul;m;01.01.2008;Radfahren, 10-11;Ausdauer;06.01.2025;Bronze;67.49
Schneider;Lilly;f;01.01.2012;Werfen, 10-11;Kraft;14.01.2025;Bronze;14.58
